"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees<sup>*</sup>","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations<sup>**</sup>","Total refugees and people in refugee-like situations assisted by UNHCR"
"Ecuador","Congo","2013","4","4","4","4"
"Ecuador","Côte d'Ivoire","2013","2","2","2","2"
"Ecuador","Cuba","2013","228","228","228","228"
"Ecuador","Dominican Rep.","2013","4","4","4","4"
"Ecuador","Egypt","2013","1","1","1","1"
"Ecuador","El Salvador","2013","5","5","5","5"
"Ecuador","Eritrea","2013","11","11","11","11"
"Ecuador","Ethiopia","2013","3","3","3","3"
"Ecuador","Germany","2013","1","1","1","1"
"Ecuador","Ghana","2013","2","2","2","2"
"Ecuador","Guinea","2013","9","9","9","9"
"Ecuador","Guinea-Bissau","2013","1","1","1","1"
"Ecuador","Haiti","2013","25","25","25","25"
"Ecuador","India","2013","2","2","2","2"
"Ecuador","Iraq","2013","36","36","36","36"
"Ecuador","Islamic Rep. of Iran","2013","26","26","26","26"
"Ecuador","Jamaica","2013","1","1","1","1"
"Ecuador","Kuwait","2013","1","1","1","1"
"Ecuador","Kyrgyzstan","2013","1","1","1","1"
"Ecuador","Lebanon","2013","5","5","5","5"
"Ecuador","Liberia","2013","6","6","6","6"
"Ecuador","Lithuania","2013","1","1","1","1"
"Ecuador","Mali","2013","2","2","2","2"
"Ecuador","Morocco","2013","4","4","4","4"
"Ecuador","Nepal","2013","5","5","5","5"
"Ecuador","Nicaragua","2013","1","1","1","1"
"Ecuador","Niger","2013","1","1","1","1"
"Ecuador","Nigeria","2013","25","25","25","25"
"Ecuador","Pakistan","2013","29","29","29","29"
"Ecuador","Panama","2013","2","2","2","2"
"Ecuador","Paraguay","2013","1","1","1","1"
"Ecuador","Peru","2013","93","93","93","93"
"Ecuador","Poland","2013","1","1","1","1"
"Ecuador","Russian Federation","2013","29","29","29","29"
"Ecuador","Saudi Arabia","2013","3","3","3","3"
"Ecuador","Serbia (and Kosovo: S/RES/1244 (1999))","2013","14","14","14","14"
"Ecuador","Sierra Leone","2013","1","1","1","1"
"Ecuador","Somalia","2013","7","7","7","7"
"Ecuador","Spain","2013","4","4","4","4"
"Ecuador","Sri Lanka","2013","16","16","16","16"
"Ecuador","State of Palestine","2013","9","9","9","9"
"Ecuador","Stateless","2013","1","1","1","1"
"Ecuador","Sudan","2013","5","5","5","5"
"Ecuador","Swaziland","2013","1","1","1","1"
"Ecuador","Syrian Arab Rep.","2013","11","11","11","11"
"Ecuador","Togo","2013","2","2","2","2"
"Ecuador","Turkey","2013","2","2","2","2"
"Ecuador","Turkmenistan","2013","2","2","2","2"
"Ecuador","Uganda","2013","1","1","1","1"
"Ecuador","Ukraine","2013","0","0","0","0"
"Ecuador","United States","2013","6","6","6","6"
"Ecuador","Uruguay","2013","1","1","1","1"
"Ecuador","Uzbekistan","2013","4","4","4","4"
"Ecuador","Various","2013","16","16","16","16"
"Ecuador","Venezuela (Bolivarian Republic of)","2013","7","7","7","7"
"Ecuador","Viet Nam","2013","3","3","3","3"
"Ecuador","Western Sahara","2013","5","5","5","5"
"Ecuador","Zimbabwe","2013","5","5","5","5"
"Egypt","Afghanistan","2013","1","1","1","1"
"Egypt","Algeria","2013","4","4","4","4"
"Egypt","Angola","2013","1","1","1","1"
"Egypt","Azerbaijan","2013","1","1","1","1"
"Egypt","Burundi","2013","43","43","43","43"
"Egypt","Cameroon","2013","2","2","2","2"
"Egypt","Central African Rep.","2013","2","2","2","2"
"Egypt","Chad","2013","38","38","38","38"
"Egypt","China","2013","5","5","5","5"
"Egypt","Congo","2013","7","7","7","7"
"Egypt","Côte d'Ivoire","2013","312","312","312","312"
"Egypt","Dem. Rep. of the Congo","2013","43","43","43","43"
"Egypt","Djibouti","2013","5","5","5","5"
"Egypt","Eritrea","2013","1523","1523","1523","1523"
"Egypt","Ethiopia","2013","1029","1029","1029","1029"
"Egypt","Guinea","2013","9","9","9","9"
"Egypt","Indonesia","2013","1","1","1","1"
"Egypt","Iraq","2013","5506","5506","5506","5506"
"Egypt","Islamic Rep. of Iran","2013","1","1","1","1"
"Egypt","Jordan","2013","0","0","0","0"
"Egypt","Kenya","2013","6","6","6","6"
"Egypt","Liberia","2013","5","5","5","5"
"Egypt","Libya","2013","5","5","5","5"
"Egypt","Mali","2013","6","6","6","6"
"Egypt","Morocco","2013","1","1","1","1"
"Egypt","Myanmar","2013","2","2","2","2"
"Egypt","Nigeria","2013","1","1","1","1"
"Egypt","Pakistan","2013","1","1","1","1"
"Egypt","Philippines","2013","1","1","1","1"
"Egypt","Russian Federation","2013","11","11","11","11"
"Egypt","Rwanda","2013","14","14","14","14"
"Egypt","Saudi Arabia","2013","2","2","2","2"
"Egypt","Serbia (and Kosovo: S/RES/1244 (1999))","2013","8","8","8","8"
"Egypt","Somalia","2013","6316","6316","6316","6316"
"Egypt","South Sudan","2013","299","299","299","299"
"Egypt","Sri Lanka","2013","3","3","3","3"
"Egypt","State of Palestine","2013","70026","26","70026","26"
"Egypt","Sudan","2013","12927","12927","12927","12927"
"Egypt","Syrian Arab Rep.","2013","131659","131659","131659","131659"
"Egypt","Tajikistan","2013","11","11","11","11"
"Egypt","Tunisia","2013","1","1","1","1"
"Egypt","Turkmenistan","2013","4","4","4","4"
"Egypt","Uganda","2013","17","17","17","17"
"Egypt","Uzbekistan","2013","2","2","2","2"
"Egypt","Yemen","2013","216","216","216","216"
"Egypt","Zimbabwe","2013","9","9","9","9"
"El Salvador","Algeria","2013","1","1","1","1"
"El Salvador","China","2013","2","0","2","0"
"El Salvador","Colombia","2013","3","1","3","1"
"El Salvador","Honduras","2013","12","4","12","4"
"El Salvador","Islamic Rep. of Iran","2013","1","0","1","0"
"El Salvador","Nicaragua","2013","25","25","25","25"
"Eritrea","Ethiopia","2013","39","39","39","39"
"Eritrea","Somalia","2013","3054","3054","3054","3054"
"Eritrea","South Sudan","2013","16","16","16","16"
"Eritrea","Sudan","2013","57","57","57","57"
"Eritrea","Yemen","2013","0","0","0","0"
"Estonia","Afghanistan","2013","15","0","15","0"
"Estonia","Algeria","2013","2","0","2","0"
"Estonia","Armenia","2013","2","0","2","0"
"Estonia","Bangladesh","2013","1","0","1","0"
"Estonia","Belarus","2013","7","0","7","0"
"Estonia","Côte d'Ivoire","2013","2","0","2","0"
"Estonia","Georgia","2013","3","0","3","0"
"Estonia","Iraq","2013","1","0","1","0"
"Estonia","Pakistan","2013","2","0","2","0"
"Estonia","Russian Federation","2013","13","0","13","0"
"Estonia","Somalia","2013","4","0","4","0"
"Estonia","Sri Lanka","2013","7","0","7","0"
"Estonia","State of Palestine","2013","1","0","1","0"
"Estonia","Stateless","2013","1","0","1","0"
"Estonia","Sudan","2013","1","0","1","0"
"Estonia","Syrian Arab Rep.","2013","2","0","2","0"
"Estonia","Tajikistan","2013","1","0","1","0"
"Estonia","Turkey","2013","2","0","2","0"
"Estonia","Turkmenistan","2013","2","0","2","0"
"Estonia","Uganda","2013","1","0","1","0"
"Ethiopia","Afghanistan","2013","1","1","1","1"
"Ethiopia","Burundi","2013","59","59","59","59"
"Ethiopia","Chad","2013","1","1","1","1"
"Ethiopia","Côte d'Ivoire","2013","3","3","3","3"
"Ethiopia","Dem. Rep. of the Congo","2013","516","516","516","516"
"Ethiopia","Djibouti","2013","75","75","75","75"
"Ethiopia","Egypt","2013","1","1","1","1"
"Ethiopia","Eritrea","2013","84377","84377","84377","84377"
"Ethiopia","Iraq","2013","2","2","2","2"
"Ethiopia","Kenya","2013","2894","2894","2894","2894"
"Ethiopia","Nigeria","2013","3","3","3","3"
"Ethiopia","Rwanda","2013","11","11","11","11"
"Ethiopia","Somalia","2013","240825","240825","240825","240825"
"Ethiopia","South Sudan","2013","71506","71506","71506","71506"
"Ethiopia","Sudan","2013","33582","33582","33582","33582"
"Ethiopia","Uganda","2013","20","20","20","20"
"Ethiopia","United Rep. of Tanzania","2013","2","2","2","2"
"Ethiopia","Yemen","2013","58","58","58","58"
"Ethiopia","Zimbabwe","2013","0","0","0","0"
"Fiji","Afghanistan","2013","0","0","0","0"
"Fiji","Dem. Rep. of the Congo","2013","1","1","1","1"
"Fiji","Eritrea","2013","1","1","1","1"
"Fiji","Nigeria","2013","1","1","1","1"
"Fiji","Pakistan","2013","1","1","1","1"
"Fiji","Somalia","2013","1","1","1","1"
"Finland","Afghanistan","2013","1357","0","1357","0"
"Finland","Albania","2013","8","0","8","0"
"Finland","Algeria","2013","20","0","20","0"
"Finland","Angola","2013","216","0","216","0"
"Finland","Armenia","2013","5","0","5","0"
"Finland","Azerbaijan","2013","39","0","39","0"
"Finland","Bangladesh","2013","23","0","23","0"
"Finland","Belarus","2013","10","0","10","0"
"Finland","Bolivia (Plurinational State of)","2013","2","0","2","0"
"Finland","Bosnia and Herzegovina","2013","36","0","36","0"
"Finland","Brazil","2013","2","0","2","0"
"Finland","Burundi","2013","2","0","2","0"
"Finland","Cambodia","2013","3","0","3","0"
"Finland","Cameroon","2013","58","0","58","0"
"Finland","Chad","2013","1","0","1","0"
"Finland","China","2013","95","0","95","0"
"Finland","Colombia","2013","1","0","1","0"
"Finland","Congo","2013","12","0","12","0"
"Finland","Côte d'Ivoire","2013","14","0","14","0"
"Finland","Croatia","2013","10","0","10","0"
"Finland","Cuba","2013","6","0","6","0"
"Finland","Dem. Rep. of the Congo","2013","196","0","196","0"
"Finland","Djibouti","2013","1","0","1","0"
"Finland","Ecuador","2013","3","0","3","0"
"Finland","Egypt","2013","1","0","1","0"
"Finland","Eritrea","2013","23","0","23","0"
"Finland","Ethiopia","2013","82","0","82","0"
"Finland","Gambia","2013","18","0","18","0"
"Finland","Georgia","2013","4","0","4","0"
"Finland","Ghana","2013","41","0","41","0"
"Finland","Guatemala","2013","4","0","4","0"
"Finland","Guinea","2013","23","0","23","0"
"Finland","Guinea-Bissau","2013","1","0","1","0"
"Finland","Honduras","2013","4","0","4","0"
"Finland","India","2013","11","0","11","0"
"Finland","Iraq","2013","3448","0","3448","0"
"Finland","Islamic Rep. of Iran","2013","509","0","509","0"
"Finland","Israel","2013","2","0","2","0"
"Finland","Jordan","2013","5","0","5","0"
"Finland","Kazakhstan","2013","7","0","7","0"
"Finland","Kenya","2013","7","0","7","0"
"Finland","Kyrgyzstan","2013","21","0","21","0"
"Finland","Latvia","2013","7","0","7","0"
"Finland","Lebanon","2013","12","0","12","0"
"Finland","Liberia","2013","4","0","4","0"
"Finland","Libya","2013","11","0","11","0"
"Finland","Malawi","2013","4","0","4","0"
"Finland","Mauritania","2013","5","0","5","0"
"Finland","Mongolia","2013","1","0","1","0"
"Finland","Morocco","2013","11","0","11","0"
"Finland","Mozambique","2013","1","0","1","0"
"Finland","Myanmar","2013","14","0","14","0"
"Finland","Nepal","2013","5","0","5","0"
"Finland","Niger","2013","2","0","2","0"
"Finland","Nigeria","2013","115","0","115","0"
"Finland","Pakistan","2013","33","0","33","0"
"Finland","Peru","2013","0","0","0","0"
"Finland","Rep. of Moldova","2013","9","0","9","0"
"Finland","Romania","2013","1","0","1","0"
"Finland","Russian Federation","2013","672","0","672","0"
"Finland","Rwanda","2013","25","0","25","0"
"Finland","Senegal","2013","3","0","3","0"
"Finland","Serbia (and Kosovo: S/RES/1244 (1999))","2013","276","0","276","0"
"Finland","Sierra Leone","2013","16","0","16","0"
"Finland","Slovakia","2013","0","0","0","0"
"Finland","Somalia","2013","2744","0","2744","0"
"Finland","South Sudan","2013","1","0","1","0"
"Finland","Sri Lanka","2013","99","0","99","0"
"Finland","Stateless","2013","116","0","116","0"
"Finland","Sudan","2013","15","0","15","0"
"Finland","Syrian Arab Rep.","2013","352","0","352","0"
"Finland","Tajikistan","2013","11","0","11","0"
"Finland","The former Yugoslav Rep. of Macedonia","2013","6","0","6","0"
"Finland","Togo","2013","6","0","6","0"
"Finland","Tunisia","2013","1","0","1","0"
"Finland","Turkey","2013","180","0","180","0"
"Finland","Turkmenistan","2013","2","0","2","0"
"Finland","Uganda","2013","9","0","9","0"
"Finland","Ukraine","2013","4","0","4","0"
"Finland","United Rep. of Tanzania","2013","5","0","5","0"
"Finland","Uzbekistan","2013","14","0","14","0"
"Finland","Various","2013","114","0","114","0"
"Finland","Venezuela (Bolivarian Republic of)","2013","5","0","5","0"
"Finland","Viet Nam","2013","3","0","3","0"
"Finland","Yemen","2013","5","0","5","0"
"Finland","Zimbabwe","2013","2","0","2","0"
"France","Afghanistan","2013","3213","0","3213","0"
"France","Albania","2013","1925","0","1925","0"
"France","Algeria","2013","1333","0","1333","0"
"France","Angola","2013","3349","0","3349","0"
"France","Argentina","2013","5","0","5","0"
"France","Armenia","2013","3919","0","3919","0"
"France","Azerbaijan","2013","2709","0","2709","0"
"France","Bangladesh","2013","3336","0","3336","0"
"France","Belarus","2013","491","0","491","0"
"France","Benin","2013","22","0","22","0"
"France","Bhutan","2013","102","0","102","0"
"France","Bolivia (Plurinational State of)","2013","40","0","40","0"
"France","Bosnia and Herzegovina","2013","4174","0","4174","0"
"France","Brazil","2013","8","0","8","0"
"France","Bulgaria","2013","78","0","78","0"
"France","Burkina Faso","2013","97","0","97","0"
"France","Burundi","2013","361","0","361","0"
"France","Cambodia","2013","12560","0","12560","0"
"France","Cameroon","2013","790","0","790","0"
"France","Central African Rep.","2013","605","0","605","0"
"France","Chad","2013","1172","0","1172","0"
"France","Chile","2013","74","0","74","0"
"France","China","2013","1904","0","1904","0"
"France","Colombia","2013","480","0","480","0"
"France","Comoros","2013","474","0","474","0"
"France","Congo","2013","3371","0","3371","0"
"France","Côte d'Ivoire","2013","2410","0","2410","0"
"France","Croatia","2013","77","0","77","0"
"France","Cuba","2013","138","0","138","0"
"France","Czech Rep.","2013","29","0","29","0"
"France","Dem. People's Rep. of Korea","2013","0","0","0","0"
"France","Dem. Rep. of the Congo","2013","13513","0","13513","0"
"France","Djibouti","2013","122","0","122","0"
"France","Dominican Rep.","2013","17","0","17","0"
"France","Ecuador","2013","31","0","31","0"
"France","Egypt","2013","422","0","422","0"
"France","El Salvador","2013","20","0","20","0"
"France","Equatorial Guinea","2013","33","0","33","0"
"France","Eritrea","2013","1508","0","1508","0"
"France","Estonia","2013","8","0","8","0"
"France","Ethiopia","2013","598","0","598","0"
"France","Gabon","2013","32","0","32","0"
"France","Gambia","2013","140","0","140","0"
"France","Georgia","2013","2571","0","2571","0"
"France","Germany","2013","9","0","9","0"
"France","Ghana","2013","544","0","544","0"
"France","Guatemala","2013","16","0","16","0"
"France","Guinea","2013","4668","0","4668","0"
"France","Guinea-Bissau","2013","941","0","941","0"
"France","Guyana","2013","5","0","5","0"
"France","Haiti","2013","3741","0","3741","0"
"France","Hungary","2013","64","0","64","0"
"France","India","2013","197","0","197","0"
"France","Indonesia","2013","6","0","6","0"
"France","Iraq","2013","2677","0","2677","0"
"France","Islamic Rep. of Iran","2013","2311","0","2311","0"
"France","Jamaica","2013","8","0","8","0"
"France","Jordan","2013","11","0","11","0"
"France","Kazakhstan","2013","444","0","444","0"
"France","Kenya","2013","58","0","58","0"
"France","Kuwait","2013","6","0","6","0"
"France","Kyrgyzstan","2013","252","0","252","0"
"France","Lao People's Dem. Rep.","2013","7261","0","7261","0"
"France","Latvia","2013","42","0","42","0"
"France","Lebanon","2013","105","0","105","0"
"France","Liberia","2013","228","0","228","0"
"France","Libya","2013","42","0","42","0"
"France","Lithuania","2013","13","0","13","0"
"France","Madagascar","2013","236","0","236","0"
"France","Malaysia","2013","6","0","6","0"
"France","Mali","2013","3719","0","3719","0"
"France","Mauritania","2013","5101","0","5101","0"
"France","Mauritius","2013","6","0","6","0"
"France","Mexico","2013","10","0","10","0"
"France","Mongolia","2013","350","0","350","0"
"France","Montenegro","2013","67","0","67","0"
"France","Morocco","2013","197","0","197","0"
"France","Mozambique","2013","12","0","12","0"
"France","Myanmar","2013","254","0","254","0"
"France","Nepal","2013","100","0","100","0"
"France","Niger","2013","52","0","52","0"
"France","Nigeria","2013","988","0","988","0"
"France","Pakistan","2013","683","0","683","0"
"France","Panama","2013","0","0","0","0"
"France","Paraguay","2013","5","0","5","0"
"France","Peru","2013","292","0","292","0"
"France","Poland","2013","160","0","160","0"
"France","Rep. of Moldova","2013","380","0","380","0"
"France","Romania","2013","167","0","167","0"
"France","Russian Federation","2013","12795","0","12795","0"
"France","Rwanda","2013","2840","0","2840","0"
"France","Senegal","2013","629","0","629","0"
"France","Serbia (and Kosovo: S/RES/1244 (1999))","2013","11738","0","11738","0"
"France","Sierra Leone","2013","457","0","457","0"
"France","Slovakia","2013","125","0","125","0"
"France","Somalia","2013","1674","0","1674","0"
"France","South Africa","2013","23","0","23","0"
"France","Sri Lanka","2013","23762","0","23762","0"
"France","State of Palestine","2013","314","0","314","0"
"France","Sudan","2013","2430","0","2430","0"
"France","Syrian Arab Rep.","2013","1474","0","1474","0"
"France","Tajikistan","2013","28","0","28","0"
"France","The former Yugoslav Rep. of Macedonia","2013","316","0","316","0"
"France","Togo","2013","731","0","731","0"
"France","Tunisia","2013","199","0","199","0"
"France","Turkey","2013","10867","0","10867","0"
"France","Turkmenistan","2013","11","0","11","0"
"France","Uganda","2013","70","0","70","0"
"France","Ukraine","2013","732","0","732","0"
"France","United Rep. of Tanzania","2013","0","0","0","0"
"France","Uruguay","2013","0","0","0","0"
"France","Uzbekistan","2013","217","0","217","0"
"France","Various","2013","47676","0","47676","0"
"France","Venezuela (Bolivarian Republic of)","2013","8","0","8","0"
"France","Viet Nam","2013","8528","0","8528","0"
"France","Western Sahara","2013","91","0","91","0"
"France","Yemen","2013","20","0","20","0"
"France","Zimbabwe","2013","37","0","37","0"
"Gabon","Angola","2013","70","70","70","70"
"Gabon","Burundi","2013","28","28","28","28"
"Gabon","Cabo Verde","2013","1","1","1","1"
"Gabon","Cameroon","2013","2","2","2","2"
"Gabon","Central African Rep.","2013","3","3","3","3"
"Gabon","Chad","2013","992","992","992","992"
"Gabon","Congo","2013","251","251","251","251"
"Gabon","Côte d'Ivoire","2013","3","3","3","3"
"Gabon","Dem. Rep. of the Congo","2013","84","84","84","84"
"Gabon","Equatorial Guinea","2013","12","12","12","12"
"Gabon","Ethiopia","2013","1","1","1","1"
"Gabon","Ghana","2013","1","1","1","1"
"Gabon","Liberia","2013","7","7","7","7"
"Gabon","Mauritania","2013","17","17","17","17"
"Gabon","Niger","2013","1","1","1","1"
"Gabon","Rwanda","2013","49","49","49","49"
"Gabon","Sao Tome and Principe","2013","31","31","31","31"
"Gabon","Sierra Leone","2013","12","12","12","12"
"Gabon","Somalia","2013","4","4","4","4"
"Gabon","Sudan","2013","6","6","6","6"
"Gabon","Togo","2013","13","13","13","13"
"Gabon","United Rep. of Tanzania","2013","2","2","2","2"
"Gabon","Viet Nam","2013","4","4","4","4"
"Gambia","Cameroon","2013","0","0","0","0"
"Gambia","Côte d'Ivoire","2013","268","268","268","268"
"Gambia","Dem. Rep. of the Congo","2013","21","21","21","21"
"Gambia","Eritrea","2013","2","2","2","2"
"Gambia","Guinea-Bissau","2013","2","2","2","2"
"Gambia","Iraq","2013","6","1","6","1"
"Gambia","Liberia","2013","76","78","76","78"
"Gambia","Rwanda","2013","1","1","1","1"
"Gambia","Senegal","2013","9025","9025","9025","9025"
"Gambia","Sierra Leone","2013","135","135","135","135"
"Gambia","Somalia","2013","5","5","5","5"
"Gambia","Sudan","2013","1","1","1","1"
"Gambia","Togo","2013","21","21","21","21"
"Georgia","Afghanistan","2013","3","3","3","3"
"Georgia","Azerbaijan","2013","2","2","2","2"
"Georgia","Côte d'Ivoire","2013","1","1","1","1"
"Georgia","Cuba","2013","1","1","1","1"
"Georgia","Egypt","2013","4","4","4","4"
"Georgia","Iraq","2013","45","45","45","45"
"Georgia","Islamic Rep. of Iran","2013","0","0","0","0"
"Georgia","Russian Federation","2013","271","271","271","271"
"Georgia","Sri Lanka","2013","0","0","0","0"
"Georgia","Syrian Arab Rep.","2013","25","25","516","516"
"Georgia","Tajikistan","2013","3","3","3","3"
"Georgia","Turkey","2013","1","1","1","1"
"Germany","Afghanistan","2013","24203","0","24203","0"
"Germany","Albania","2013","296","0","296","0"
"Germany","Algeria","2013","307","0","307","0"
"Germany","Angola","2013","850","0","850","0"
"Germany","Antigua and Barbuda","2013","0","0","0","0"
"Germany","Argentina","2013","16","0","16","0"
"Germany","Armenia","2013","1022","0","1022","0"
"Germany","Australia","2013","16","0","16","0"
"Germany","Austria","2013","2","0","2","0"
"Germany","Azerbaijan","2013","2082","0","2082","0"
"Germany","Bahamas","2013","1","0","1","0"
"Germany","Bahrain","2013","4","0","4","0"
"Germany","Bangladesh","2013","118","0","118","0"
"Germany","Barbados","2013","1","0","1","0"
"Germany","Belarus","2013","155","0","155","0"
"Germany","Belgium","2013","5","0","5","0"
"Germany","Belize","2013","0","0","0","0"
"Germany","Benin","2013","24","0","24","0"
"Germany","Bhutan","2013","31","0","31","0"
"Germany","Bolivia (Plurinational State of)","2013","7","0","7","0"
"Germany","Bosnia and Herzegovina","2013","1344","0","1344","0"
"Germany","Botswana","2013","1","0","1","0"
"Germany","Brazil","2013","66","0","66","0"
"Germany","Bulgaria","2013","94","0","94","0"
"Germany","Burkina Faso","2013","38","0","38","0"
"Germany","Burundi","2013","72","0","72","0"
"Germany","Cabo Verde","2013","2","0","2","0"
"Germany","Cambodia","2013","26","0","26","0"
"Germany","Cameroon","2013","528","0","528","0"
"Germany","Canada","2013","34","0","34","0"
"Germany","Central African Rep.","2013","0","0","0","0"
"Germany","Chad","2013","18","0","18","0"
"Germany","Chile","2013","196","0","196","0"
"Germany","China","2013","1490","0","1490","0"
"Germany","Colombia","2013","70","0","70","0"
"Germany","Comoros","2013","1","0","1","0"
"Germany","Congo","2013","194","0","194","0"
"Germany","Costa Rica","2013","3","0","3","0"
"Germany","Côte d'Ivoire","2013","185","0","185","0"
"Germany","Croatia","2013","359","0","359","0"
"Germany","Cuba","2013","126","0","126","0"
"Germany","Cyprus","2013","0","0","0","0"
"Germany","Czech Rep.","2013","510","0","510","0"
"Germany","Dem. People's Rep. of Korea","2013","112","0","112","0"
"Germany","Dem. Rep. of the Congo","2013","1672","0","1672","0"
"Germany","Djibouti","2013","2","0","2","0"
"Germany","Dominica","2013","0","0","0","0"
"Germany","Dominican Rep.","2013","19","0","19","0"
"Germany","Ecuador","2013","22","0","22","0"
"Germany","Egypt","2013","266","0","266","0"
"Germany","El Salvador","2013","7","0","7","0"
"Germany","Equatorial Guinea","2013","15","0","15","0"
"Germany","Eritrea","2013","3984","0","3984","0"
"Germany","Estonia","2013","2","0","2","0"
"Germany","Ethiopia","2013","2639","0","2639","0"
"Germany","France","2013","15","0","15","0"
"Germany","Gabon","2013","2","0","2","0"
"Germany","Gambia","2013","126","0","126","0"
"Germany","Georgia","2013","333","0","333","0"
"Germany","Ghana","2013","236","0","236","0"
"Germany","Greece","2013","46","0","46","0"
"Germany","Guatemala","2013","3","0","3","0"
"Germany","Guinea","2013","472","0","472","0"
"Germany","Guinea-Bissau","2013","17","0","17","0"
"Germany","Guyana","2013","0","0","0","0"
"Germany","Haiti","2013","15","0","15","0"
"Germany","Honduras","2013","8","0","8","0"
"Germany","Hungary","2013","308","0","308","0"
"Germany","Iceland","2013","0","0","0","0"
"Germany","India","2013","401","0","401","0"
"Germany","Indonesia","2013","28","0","28","0"
"Germany","Iraq","2013","40230","0","40230","0"
"Germany","Islamic Rep. of Iran","2013","17150","0","17150","0"
"Germany","Israel","2013","43","0","43","0"
"Germany","Italy","2013","10","0","10","0"
"Germany","Jamaica","2013","3","0","3","0"
"Germany","Japan","2013","112","0","112","0"
"Germany","Jordan","2013","99","0","99","0"
"Germany","Kazakhstan","2013","84","0","84","0"
"Germany","Kenya","2013","158","0","158","0"
"Germany","Kuwait","2013","4","0","4","0"
"Germany","Kyrgyzstan","2013","60","0","60","0"
"Germany","Lao People's Dem. Rep.","2013","55","0","55","0"
"Germany","Latvia","2013","12","0","12","0"
"Germany","Lebanon","2013","449","0","449","0"
"Germany","Lesotho","2013","0","0","0","0"
"Germany","Liberia","2013","68","0","68","0"
"Germany","Libya","2013","141","0","141","0"
"Germany","Lithuania","2013","7","0","7","0"
"Germany","Luxembourg","2013","1","0","1","0"
"Germany","Madagascar","2013","4","0","4","0"
"Germany","Malawi","2013","2","0","2","0"
"Germany","Malaysia","2013","11","0","11","0"
"Germany","Maldives","2013","0","0","0","0"
"Germany","Mali","2013","21","0","21","0"
"Germany","Mauritania","2013","15","0","15","0"
"Germany","Mauritius","2013","1","0","1","0"
"Germany","Mexico","2013","28","0","28","0"
"Germany","Monaco","2013","0","0","0","0"
"Germany","Mongolia","2013","39","0","39","0"
"Germany","Montenegro","2013","218","0","218","0"
"Germany","Morocco","2013","144","0","144","0"
"Germany","Mozambique","2013","11","0","11","0"
"Germany","Myanmar","2013","825","0","825","0"
"Germany","Namibia","2013","2","0","2","0"
"Germany","Nepal","2013","55","0","55","0"
"Germany","Netherlands","2013","9","0","9","0"
"Germany","New Zealand","2013","10","0","10","0"
"Germany","Nicaragua","2013","2","0","2","0"
"Germany","Niger","2013","36","0","36","0"
"Germany","Nigeria","2013","720","0","720","0"
"Germany","Norway","2013","5","0","5","0"
"Germany","Oman","2013","2","0","2","0"
"Germany","Pakistan","2013","3387","0","3387","0"
"Germany","Palau","2013","1","0","1","0"
"Germany","Panama","2013","1","0","1","0"
"Germany","Paraguay","2013","2","0","2","0"
"Germany","Peru","2013","48","0","48","0"
"Germany","Philippines","2013","28","0","28","0"
"Germany","Poland","2013","742","0","742","0"
"Germany","Portugal","2013","2","0","2","0"
"Germany","Qatar","2013","0","0","0","0"
"Germany","Rep. of Korea","2013","122","0","122","0"
"Germany","Rep. of Moldova","2013","31","0","31","0"
"Germany","Romania","2013","182","0","182","0"
"Germany","Russian Federation","2013","4358","0","4358","0"
"Germany","Rwanda","2013","170","0","170","0"
"Germany","Saint Vincent and the Grenadines","2013","0","0","0","0"
"Germany","Saudi Arabia","2013","11","0","11","0"
"Germany","Senegal","2013","31","0","31","0"
"Germany","Serbia (and Kosovo: S/RES/1244 (1999))","2013","8410","0","8410","0"
"Germany","Seychelles","2013","1","0","1","0"
"Germany","Sierra Leone","2013","323","0","323","0"
"Germany","Singapore","2013","7","0","7","0"
"Germany","Slovakia","2013","99","0","99","0"
"Germany","Slovenia","2013","11","0","11","0"
"Germany","Somalia","2013","3512","0","3512","0"
"Germany","South Africa","2013","32","0","32","0"
"Germany","South Sudan","2013","7","0","7","0"
"Germany","Spain","2013","12","0","12","0"
"Germany","Sri Lanka","2013","4077","0","4077","0"
"Germany","State of Palestine","2013","32","0","32","0"
"Germany","Stateless","2013","920","0","920","0"
"Germany","Sudan","2013","296","0","296","0"
"Germany","Suriname","2013","0","0","0","0"
"Germany","Sweden","2013","3","0","3","0"
"Germany","Switzerland","2013","0","0","0","0"
"Germany","Syrian Arab Rep.","2013","21253","0","21253","0"
"Germany","Tajikistan","2013","73","0","73","0"
"Germany","Thailand","2013","58","0","58","0"
"Germany","The former Yugoslav Rep. of Macedonia","2013","341","0","341","0"
"Germany","Togo","2013","1404","0","1404","0"
"Germany","Trinidad and Tobago","2013","0","0","0","0"
"Germany","Tunisia","2013","94","0","94","0"
"Germany","Turkey","2013","24449","0","24449","0"
"Germany","Turkmenistan","2013","21","0","21","0"
"Germany","Uganda","2013","120","0","120","0"
"Germany","Ukraine","2013","261","0","261","0"
"Germany","United Arab Emirates","2013","1","0","1","0"
"Germany","United Kingdom","2013","8","0","8","0"
"Germany","United Rep. of Tanzania","2013","18","0","18","0"
"Germany","United States","2013","238","0","238","0"
"Germany","Uruguay","2013","2","0","2","0"
"Germany","Uzbekistan","2013","88","0","88","0"
"Germany","Various","2013","4523","0","4523","0"
